step,action,code,prediction,outcome,status,valence,i_length,e_length,nb_schemas
342,forward,1,2,2,success,10,6,6,903
343,sniff_front,0,2,2,success,-1,8,1,903
344,forward,1,2,2,success,10,8,2,903
345,sniff_front,0,2,2,success,-1,8,3,903
346,forward,1,2,0,fail,-1,8,3,907
347,sniff_right,3,2,2,success,-1,9,1,907
348,turn_right,4,2,2,success,-1,9,2,907
349,forward,1,2,2,success,10,9,3,907
350,sniff_front,0,2,2,success,-1,9,4,907
351,forward,1,2,2,success,10,9,5,907
352,sniff_front,0,2,2,success,-1,9,6,907
353,forward,1,2,0,fail,-1,9,6,912
354,sniff_left,2,0,2,fail,-1,1,0,916
355,turn_left,5,2,2,success,-1,10,1,916
356,forward,1,2,2,success,10,10,2,916
357,sniff_front,0,2,2,success,-1,10,3,916
358,forward,1,2,2,success,10,10,4,916
359,sniff_front,0,2,2,success,-1,10,5,916
360,forward,1,2,2,success,10,10,6,916
361,sniff_front,0,2,2,success,-1,10,7,916
362,forward,1,2,2,success,10,10,8,916
363,sniff_front,0,2,2,success,-1,10,9,916
364,forward,1,0,2,fail,10,10,9,921
365,sniff_front,0,2,2,success,-1,8,1,921
366,forward,1,2,2,success,10,8,2,921
367,sniff_front,0,2,2,success,-1,8,3,921
368,forward,1,2,0,fail,-1,8,3,925
369,sniff_right,3,2,3,fail,-1,9,0,929
370,sniff_right,3,3,3,success,-1,1,1,932
371,sniff_front,0,0,0,success,-1,1,1,933
372,sniff_left,2,2,2,success,-1,1,1,934
373,turn_left,5,2,2,success,-1,10,1,934
374,forward,1,2,4,fail,5,10,1,939
375,sniff_front,0,0,2,fail,-1,1,0,943
376,forward,1,2,0,fail,-1,3,0,946
377,sniff_front,0,0,3,fail,-1,1,0,947
378,sniff_front,0,0,3,fail,-1,1,0,948
379,sniff_left,2,0,0,success,-1,1,1,949
380,sniff_left,2,0,0,success,-1,1,1,949
381,sniff_right,3,0,2,fail,-1,1,0,953
382,turn_right,4,2,2,success,-1,5,1,953
383,forward,1,2,2,success,10,5,2,953
384,sniff_front,0,2,2,success,-1,5,3,953
385,forward,1,0,2,fail,10,5,3,956
386,sniff_front,0,2,2,success,-1,6,1,956
387,forward,1,2,2,success,10,6,2,956
388,sniff_front,0,2,2,success,-1,6,3,956
389,forward,1,2,2,success,10,6,4,956
390,sniff_front,0,2,2,success,-1,6,5,956
391,forward,1,2,2,success,10,6,6,960
392,sniff_front,0,2,2,success,-1,8,1,960
393,forward,1,2,2,success,10,8,2,960
394,sniff_front,0,2,2,success,-1,8,3,960
395,forward,1,2,0,fail,-1,8,3,963
396,sniff_right,3,2,2,success,-1,9,1,963
397,turn_right,4,2,2,success,-1,9,2,963
398,forward,1,2,2,success,10,9,3,963
399,sniff_front,0,2,2,success,-1,9,4,963
400,forward,1,2,2,success,10,9,5,963
401,sniff_front,0,2,2,success,-1,9,6,963
402,forward,1,2,0,fail,-1,9,6,964
403,turn_right,4,2,1,fail,-3,2,0,968
404,sniff_right,3,0,0,success,-1,1,1,972
405,sniff_left,2,2,3,fail,-1,5,0,975
406,sniff_left,2,3,3,success,-1,1,1,978
407,sniff_right,3,3,0,fail,-1,1,0,979
408,sniff_left,2,2,3,fail,-1,5,0,979
409,turn_left,5,0,1,fail,-3,1,0,983
410,sniff_right,3,0,3,fail,-1,1,0,986
411,sniff_left,2,0,2,fail,-1,1,0,989
412,turn_left,5,2,2,success,-1,10,1,989
413,forward,1,2,2,success,10,10,2,989
414,sniff_front,0,2,2,success,-1,10,3,989
415,forward,1,2,2,success,10,10,4,989
416,sniff_front,0,2,2,success,-1,10,5,989
417,forward,1,2,2,success,10,10,6,989
418,sniff_front,0,2,2,success,-1,10,7,989
419,forward,1,2,2,success,10,10,8,989
420,sniff_front,0,2,2,success,-1,10,9,989
421,forward,1,0,2,fail,10,10,9,992
422,sniff_front,0,2,2,success,-1,8,1,992
423,forward,1,2,2,success,10,8,2,992
424,sniff_front,0,2,2,success,-1,8,3,992
425,forward,1,2,2,success,10,8,4,992
426,sniff_front,0,2,2,success,-1,8,5,992
427,forward,1,2,2,success,10,8,6,992
428,sniff_front,0,2,2,success,-1,8,7,992
429,forward,1,0,0,success,-1,8,8,996
430,sniff_left,2,0,2,fail,-1,1,0,1000
431,turn_left,5,2,2,success,-1,10,1,1000
432,forward,1,2,2,success,10,10,2,1000
433,sniff_front,0,2,2,success,-1,10,3,1000
434,forward,1,2,2,success,10,10,4,1000
435,sniff_front,0,2,2,success,-1,10,5,1000
436,forward,1,2,2,success,10,10,6,1000
437,sniff_front,0,2,2,success,-1,10,7,1000
438,forward,1,2,0,fail,-1,10,7,1005
439,sniff_right,3,2,3,fail,-1,9,0,1009
440,sniff_right,3,0,3,fail,-1,1,0,1012
441,sniff_front,0,0,3,fail,-1,1,0,1015
442,sniff_right,3,3,3,success,-1,1,1,1016
443,sniff_left,2,0,2,fail,-1,1,0,1019
444,turn_left,5,2,2,success,-1,10,1,1019
445,forward,1,2,2,success,10,10,2,1019
446,sniff_front,0,2,2,success,-1,10,3,1019
447,forward,1,2,2,success,10,10,4,1019
448,sniff_front,0,2,2,success,-1,10,5,1019
449,forward,1,2,2,success,10,10,6,1019
450,sniff_front,0,2,2,success,-1,10,7,1019
451,forward,1,2,2,success,10,10,8,1019
452,sniff_front,0,2,2,success,-1,10,9,1019
453,forward,1,0,0,success,-1,10,10,1022
454,sniff_left,2,0,3,fail,-1,1,0,1026
455,sniff_front,0,0,3,fail,-1,1,0,1029
456,turn_right,4,0,2,fail,-1,1,0,1032
457,forward,1,2,2,success,10,7,1,1032
458,sniff_front,0,2,2,success,-1,7,2,1032
459,forward,1,2,0,fail,-1,7,2,1035
460,turn_right,4,2,2,success,-1,7,1,1035
461,forward,1,2,2,success,10,7,2,1035
462,sniff_front,0,2,2,success,-1,7,3,1035
463,forward,1,2,2,success,10,7,4,1035
464,sniff_front,0,2,2,success,-1,7,5,1035
465,forward,1,0,0,success,-1,7,6,1035
466,sniff_right,3,0,3,fail,-1,7,6,1040
467,sniff_right,3,0,3,fail,-1,1,0,1044
468,sniff_right,3,0,3,fail,-1,1,0,1047
469,sniff_front,0,0,0,success,-1,1,1,1048
