step,action,code,prediction,outcome,status,valence,i_length,e_length,nb_schemas
596,turn_right,4,2,2,success,-1,5,2,1224
597,forward,1,2,2,success,10,5,3,1224
598,sniff_front,0,2,2,success,-1,5,4,1224
599,forward,1,0,0,success,-1,5,5,1227
600,turn_right,4,2,2,success,-1,8,1,1227
601,forward,1,2,2,success,10,8,2,1227
602,sniff_front,0,2,2,success,-1,8,3,1227
603,forward,1,2,2,success,10,8,4,1227
604,sniff_front,0,2,2,success,-1,8,5,1227
605,forward,1,0,4,fail,5,8,5,1233
606,sniff_front,0,0,2,fail,-1,1,0,1237
607,forward,1,2,2,success,10,3,1,1237
608,sniff_front,0,2,2,success,-1,3,2,1237
609,forward,1,0,2,fail,10,3,2,1241
610,sniff_front,0,2,2,success,-1,6,1,1241
611,forward,1,2,2,success,10,6,2,1241
612,sniff_front,0,2,2,success,-1,6,3,1241
613,forward,1,2,2,success,10,6,4,1241
614,sniff_front,0,2,2,success,-1,6,5,1241
615,forward,1,2,0,fail,-1,6,5,1245
616,sniff_left,2,3,3,success,-1,1,1,1249
617,sniff_right,3,2,2,success,-1,5,1,1249
618,turn_right,4,2,2,success,-1,5,2,1249
619,forward,1,2,2,success,10,5,3,1249
620,sniff_front,0,2,2,success,-1,5,4,1249
621,forward,1,0,2,fail,10,5,4,1253
622,sniff_front,0,2,2,success,-1,10,1,1253
623,forward,1,2,2,success,10,10,2,1253
624,sniff_front,0,2,2,success,-1,10,3,1253
625,forward,1,2,2,success,10,10,4,1253
626,sniff_front,0,2,2,success,-1,10,5,1253
627,forward,1,2,2,success,10,10,6,1253
628,sniff_front,0,2,2,success,-1,10,7,1253
629,forward,1,2,2,success,10,10,8,1253
630,sniff_front,0,2,2,success,-1,10,9,1253
631,forward,1,0,2,fail,10,10,9,1258
632,sniff_front,0,2,2,success,-1,6,1,1258
633,forward,1,2,2,success,10,6,2,1258
634,sniff_front,0,2,2,success,-1,6,3,1258
635,forward,1,2,2,success,10,6,4,1258
636,sniff_front,0,2,2,success,-1,6,5,1258
